OverallQual,GrLivArea,YearBuilt,YearRemodAdd,TotalBsmtSF,GarageCars,FullBath,LotArea,Neighborhood,HouseStyle,ExterQual,KitchenQual,CentralAir,GarageType,SalePrice
4,1152,1955,1955,0,0,2,6040,Edwards,1Story,TA,Fa,N,,82000
6,1324,1965,1965,1088,2,2,8658,NAmes,1Story,TA,TA,Y,Attchd,160000
5,1328,1959,1959,1350,1,1,16905,Timber,1Story,TA,TA,Y,Attchd,170000
5,884,1983,1983,840,2,1,9180,SawyerW,SFoyer,TA,Gd,Y,Attchd,144000
5,938,1975,1980,938,1,1,9200,CollgCr,1Story,TA,TA,Y,Detchd,130250
5,1150,1959,1959,1150,1,1,7945,NAmes,1Story,TA,TA,Y,Attchd,141000
9,1752,2005,2005,1752,2,2,7658,NridgHt,1Story,Ex,Ex,Y,Attchd,319900
7,2149,2003,2003,1434,2,1,12822,Mitchel,1.5Fin,Gd,Gd,Y,Attchd,239686
8,1656,2006,2006,1656,3,2,11096,Somerst,1Story,Gd,Gd,Y,Attchd,249700
4,1452,1920,2008,736,0,2,4456,OldTown,2Story,TA,TA,Y,,113000
5,955,1966,1966,955,1,1,7742,Sawyer,1Story,TA,TA,Y,Attchd,127000
6,1470,1997,1997,794,2,2,13869,Gilbert,2Story,TA,TA,Y,Attchd,177000
6,1176,1934,1950,816,2,1,6240,BrkSide,1.5Fin,TA,TA,Y,Detchd,114500
5,816,1963,1963,816,2,1,8472,IDOTRR,1Story,Fa,TA,N,CarPort,110000
9,1842,1981,1987,1842,3,0,50271,Veenker,1Story,Gd,Gd,Y,Attchd,385000
5,1360,1955,1955,384,2,1,7134,NAmes,SLvl,TA,TA,Y,Detchd,130000
6,1425,1964,1964,1425,2,2,10175,NAmes,1Story,TA,TA,Y,Attchd,180500
8,1739,1999,2000,970,2,2,2645,Somerst,2Story,Gd,Gd,Y,Attchd,172500
7,1720,2004,2004,860,2,2,11645,CollgCr,2Story,Gd,Gd,Y,Attchd,196500
10,2945,2006,2006,1410,3,3,13682,StoneBr,2Story,Ex,Gd,Y,BuiltIn,438780
5,780,1972,1972,780,1,1,7200,CollgCr,1Story,TA,TA,Y,Detchd,124900
6,1158,2004,2004,1158,2,1,13072,SawyerW,1Story,TA,Gd,Y,Detchd,158000
5,1111,1920,1996,530,1,1,7200,IDOTRR,2.5Unf,TA,Fa,N,Detchd,101000
8,1370,2006,2006,1370,2,2,6442,NridgHt,1Story,Gd,Gd,Y,Attchd,202500
7,1710,1921,1950,576,2,2,10300,OldTown,2Story,TA,TA,Y,Detchd,140000
7,2034,1997,1998,1057,2,2,9375,CollgCr,2Story,TA,Gd,Y,Attchd,219500
8,2473,2004,2005,1143,3,2,9591,NridgHt,2Story,Gd,Gd,Y,BuiltIn,317000
7,2207,1970,1989,1947,2,2,19900,NAmes,1Story,TA,TA,Y,Attchd,180000
7,1479,2003,2003,1453,2,2,10665,CollgCr,1Story,Gd,Gd,Y,Attchd,226000
4,747,1945,1950,747,1,1,4608,OldTown,1Story,TA,TA,Y,Attchd,80000
7,2287,1953,1953,1304,2,2,15593,ClearCr,1.5Fin,Gd,TA,Y,Attchd,225000
7,2223,1973,1973,2223,2,2,13651,NAmes,1Story,TA,TA,Y,Attchd,244000
4,845,1982,2006,845,2,1,7599,Mitchel,1Story,TA,TA,Y,Detchd,129500
7,1718,1998,1998,832,2,2,10141,Gilbert,2Story,TA,TA,Y,Attchd,185000
5,1086,1954,2003,1086,2,1,10200,NAmes,1Story,TA,TA,Y,Attchd,144900
3,1605,1915,1950,840,1,2,5790,OldTown,2Story,Gd,TA,N,Detchd,107400
4,988,1973,1973,462,1,1,1596,MeadowV,SLvl,TA,TA,Y,BuiltIn,91000
4,952,1956,1956,952,1,1,8475,NAmes,1Story,TA,TA,Y,Detchd,135750
5,1285,1948,2001,672,1,1,8635,BrkSide,1.5Fin,TA,TA,Y,Detchd,127000
4,1768,1968,1968,1768,0,2,10778,Sawyer,1Story,TA,TA,N,,136500
5,1230,1910,1981,440,2,1,10440,OldTown,2Story,TA,TA,Y,Detchd,110000
6,2142,1968,1968,896,1,2,13000,NAmes,2Story,TA,Gd,Y,Attchd,193500
6,1337,1998,1998,1237,2,2,4500,Mitchel,1Story,TA,TA,Y,Attchd,153500
8,1563,2007,2007,1563,3,2,10206,Somerst,1Story,TA,Gd,Y,Attchd,245000
5,1065,1960,1960,1065,2,1,8892,NAmes,1Story,TA,TA,Y,Detchd,126500
7,1474,1995,1996,384,2,2,8530,Gilbert,SLvl,TA,TA,Y,BuiltIn,168500
8,2417,1991,1992,1288,2,2,16059,NoRidge,2Story,Gd,Gd,Y,Attchd,260000
6,1560,2005,2005,684,2,2,11911,Gilbert,2Story,Gd,Gd,Y,BuiltIn,174000
6,1224,2009,2009,612,2,2,3951,Somerst,2Story,Gd,Gd,Y,Detchd,164500
3,1526,1915,1982,1013,0,1,8470,IDOTRR,1.5Fin,Fa,Fa,N,,85000
4,990,1994,1995,990,0,1,8070,CollgCr,1Story,TA,TA,Y,,123600
4,1040,1950,1950,0,2,1,7200,NAmes,1Story,TA,TA,Y,Detchd,109900
5,1235,1961,1961,1235,2,1,8500,NAmes,1Story,TA,TA,Y,Attchd,98600
5,964,1921,2006,876,2,1,13360,Crawfor,1Story,TA,TA,Y,Detchd,163500
6,2291,1910,1998,1214,2,2,7200,OldTown,2.5Unf,TA,TA,N,Detchd,133900
6,1786,1997,1997,824,2,2,9337,CollgCr,2Story,TA,Gd,Y,Attchd,204750
6,1470,1993,1993,680,2,2,9765,Gilbert,2Story,Ex,TA,Y,BuiltIn,185000
7,1588,1999,1999,1588,2,2,10264,CollgCr,1Story,Gd,Gd,Y,Attchd,214000
4,960,1965,1965,960,1,1,10921,Edwards,1Story,TA,TA,Y,Attchd,94750
5,835,1920,1950,458,1,1,10625,Edwards,1Story,TA,TA,N,Basment,83000
4,1225,1959,1959,950,0,1,9320,NAmes,1Story,TA,TA,Y,,128950
6,1610,1977,2001,1610,2,2,10603,NWAmes,1Story,TA,Gd,Y,Attchd,205000
6,1732,1985,1985,741,2,2,9206,SawyerW,2Story,Gd,Gd,Y,Attchd,178000
5,1535,1979,1979,0,2,2,7018,SawyerW,1Story,TA,TA,Y,Attchd,118964
7,1226,2009,2009,1226,3,2,10402,CollgCr,1Story,TA,Gd,Y,Attchd,198900
7,1818,1931,1950,1040,1,1,7758,IDOTRR,1.5Fin,TA,TA,Y,Detchd,169500
8,1992,2003,2004,1053,2,2,9375,Somerst,2Story,Gd,Gd,Y,Attchd,250000
4,1047,1885,1995,641,1,1,10800,OldTown,1Story,TA,TA,Y,Detchd,100000
5,789,1948,1950,789,1,1,6000,OldTown,1Story,TA,TA,Y,Detchd,115000
5,1517,1919,2005,793,0,2,8500,IDOTRR,1.5Fin,TA,Fa,N,,115000
6,1844,1977,1977,1844,2,2,11751,NWAmes,1Story,TA,TA,Y,Attchd,190000
6,1855,1954,1972,994,1,2,9525,Edwards,1.5Fin,TA,TA,Y,Attchd,136900
7,1430,2000,2000,384,2,2,7750,Gilbert,SLvl,TA,TA,Y,BuiltIn,180000
7,2696,2007,2007,1264,3,2,9965,CollgCr,2Story,Gd,Ex,Y,BuiltIn,383970
6,2259,1953,1953,1809,2,2,21000,Crawfor,1Story,TA,Gd,Y,Basment,217000
6,2320,1945,2002,1028,1,2,7259,Crawfor,2Story,TA,Gd,Y,Detchd,259500
6,1458,1999,1999,729,2,2,3230,Somerst,2Story,TA,TA,Y,Detchd,176000
5,1092,1962,1962,1092,1,1,11616,Sawyer,1Story,TA,TA,Y,Attchd,139000
5,1125,2006,2007,1125,2,1,8536,Edwards,1Story,TA,TA,Y,Attchd,155000
7,3222,1990,1990,1673,3,3,12376,SawyerW,2Story,TA,Gd,Y,Attchd,320000
6,1456,2005,2006,728,2,2,8461,CollgCr,2Story,Gd,Gd,Y,Attchd,163990
6,988,1969,1969,938,2,1,21453,ClearCr,SLvl,TA,TA,Y,Attchd,180000
4,1123,1939,1950,732,1,1,6060,IDOTRR,1.5Fin,TA,TA,Y,Detchd,100000
6,1080,1958,1958,1080,1,1,9464,NAmes,1Story,TA,TA,Y,Attchd,136000
6,1199,1993,1993,1199,2,2,7892,SawyerW,1Story,Gd,Gd,Y,Attchd,153900
6,1586,1979,1998,1362,2,2,17043,NWAmes,1Story,TA,TA,Y,Attchd,181000
6,754,1935,1982,520,0,1,6780,IDOTRR,1.5Fin,TA,TA,N,,84500
6,958,1976,1976,1078,2,2,4928,NPkVill,1Story,TA,TA,Y,Attchd,128000
5,840,1930,1950,672,0,1,4388,OldTown,1.5Unf,TA,TA,Y,,87000
6,1348,1966,1966,660,2,1,7590,NAmes,2Story,TA,TA,Y,Attchd,155000
5,1053,1958,1991,1008,2,1,8973,NAmes,1Story,TA,Ex,Y,2Types,150000
7,2157,1966,1966,924,2,2,14200,NAmes,2Story,TA,Gd,Y,Attchd,226000
6,2054,2000,2000,992,2,2,12224,Gilbert,2Story,Gd,Gd,Y,BuiltIn,244000
5,1327,1959,2002,1063,2,1,7388,NAmes,1Story,TA,Gd,Y,Detchd,150750
8,1296,2001,2002,1267,2,2,6853,Timber,1Story,Gd,Gd,Y,Attchd,220000
5,1721,1968,1993,1461,2,2,10335,Sawyer,1Story,TA,TA,Y,Attchd,180000
7,1682,1970,1970,1304,2,2,10400,NWAmes,1Story,TA,TA,Y,Attchd,174000
5,1214,1967,1967,1214,1,2,10355,NAmes,1Story,TA,TA,Y,Attchd,143000
7,1959,1988,1989,1907,3,3,11070,Mitchel,1Story,TA,TA,Y,2Types,171000
8,1852,1999,2000,1004,3,2,9066,CollgCr,2Story,Gd,Gd,Y,Attchd,230000
6,1764,1997,1997,928,2,2,15426,CollgCr,2Story,TA,Gd,Y,Attchd,231500
4,864,1971,1971,864,0,1,10500,NAmes,1Story,TA,TA,Y,,115000
7,1734,2005,2005,1734,2,2,11645,CollgCr,1Story,Gd,Gd,Y,Attchd,260000
5,1385,1952,1952,910,2,2,8520,NAmes,1.5Fin,TA,TA,Y,Detchd,166000
7,1501,1999,1999,1490,2,2,10335,CollgCr,1Story,Gd,Gd,Y,Attchd,204000
5,1728,1963,1963,1728,2,2,9100,Sawyer,1Story,TA,TA,Y,Detchd,125000
6,1709,2004,2006,970,2,2,2522,Edwards,2Story,Gd,Gd,Y,Detchd,130000
5,875,1931,1993,715,1,1,6120,BrkSide,1Story,TA,TA,Y,Detchd,105000
7,2035,2001,2001,884,2,2,9505,Gilbert,2Story,Gd,Gd,Y,BuiltIn,222500
7,1080,2004,2005,1080,0,1,7500,SawyerW,1Story,TA,Gd,Y,,141000
5,1344,1936,1950,896,1,1,6240,BrkSide,1.5Fin,TA,TA,Y,Detchd,115000
5,969,1975,1975,969,2,1,10356,CollgCr,1Story,TA,TA,Y,Attchd,122000
8,1710,2007,2008,1710,3,2,13891,NridgHt,1Story,Gd,Gd,Y,Attchd,372402
6,1993,1971,1971,825,2,2,14803,NWAmes,2Story,TA,TA,Y,Attchd,190000
6,1252,1960,1975,1602,2,1,13500,ClearCr,1Story,TA,TA,Y,Attchd,235000
6,1200,1923,1950,1200,1,1,11340,OldTown,1Story,TA,TA,Y,Detchd,125000
6,1096,1924,1950,572,0,1,9600,Edwards,1.5Fin,TA,TA,N,,79000
5,1040,1950,1950,0,2,1,7200,NAmes,1Story,TA,TA,Y,Detchd,109500
8,1968,2009,2010,774,3,2,12003,Timber,2Story,Gd,Ex,Y,BuiltIn,269500
7,1947,2004,2005,991,2,2,12552,Somerst,2Story,Gd,Gd,Y,Attchd,254900
7,2462,2005,2006,1392,2,2,19378,Gilbert,2Story,Gd,Gd,Y,Attchd,320000
6,1232,1984,1984,1232,2,2,11120,Veenker,1Story,TA,TA,Y,Attchd,162500
9,2668,2003,2004,1572,3,2,13688,NridgHt,2Story,Gd,Ex,Y,BuiltIn,412500
7,1541,2005,2005,1541,2,2,12182,NridgHt,1Story,Gd,Gd,Y,Attchd,220000
4,882,1956,1956,882,0,1,5500,OldTown,1.5Unf,TA,TA,Y,,103200
6,1616,1926,2004,1149,1,2,5400,OldTown,1Story,TA,Gd,Y,Detchd,152000
5,1355,1940,1999,644,0,2,10106,Edwards,1.5Fin,TA,TA,Y,,127500
5,1867,1955,1993,1617,1,1,10708,ClearCr,1Story,Gd,TA,Y,Attchd,190000
8,2161,2007,2007,1582,3,1,10562,NridgHt,2Story,Gd,Ex,Y,Attchd,325624
7,1720,2004,2004,840,2,2,8244,Gilbert,2Story,Gd,Gd,Y,Attchd,183500
8,1707,1981,1981,1686,2,2,16669,Timber,1Story,Gd,TA,Y,Attchd,228000
5,1382,1941,1950,720,2,1,12358,OldTown,1.5Fin,TA,TA,Y,Detchd,128500
6,1656,1960,1960,1080,2,1,31770,NAmes,1Story,TA,TA,Y,Attchd,215000
7,1767,1987,1987,1064,2,2,5306,StoneBr,2Story,Gd,Gd,Y,Attchd,239000
6,1362,1961,1961,1362,2,1,10197,NAmes,1Story,TA,TA,Y,Attchd,163000
6,1651,1986,1986,1606,2,2,12416,Timber,1Story,TA,TA,Y,Attchd,184000
6,2158,1950,2001,1202,2,2,12615,Edwards,1Story,TA,Gd,Y,Attchd,243000
6,2060,1988,1989,1151,2,2,10029,ClearCr,2Story,Gd,TA,Y,Attchd,211000
5,1920,1958,1958,1052,2,2,13650,Sawyer,1.5Fin,Gd,Gd,Y,Attchd,172500
9,2234,2008,2009,2216,3,2,17423,StoneBr,1Story,Ex,Ex,Y,Attchd,501837
5,968,1923,2006,968,2,1,8520,OldTown,1Story,Gd,TA,Y,Detchd,100000
6,1525,2000,2000,756,2,2,2117,Somerst,2Story,Gd,Gd,Y,Detchd,177000
7,1802,1920,1950,793,1,1,7588,Crawfor,2Story,TA,TA,Y,Detchd,200100
5,1340,1957,2006,0,1,1,9060,Edwards,1Story,TA,TA,Y,Attchd,120000
7,2082,2003,2003,1362,2,2,11426,OldTown,1.5Fin,TA,Gd,Y,Detchd,200000
5,1252,1908,1991,504,2,1,7438,BrkSide,1.5Fin,TA,TA,Y,Attchd,127000
10,3608,1892,1993,1107,3,2,22950,OldTown,2.5Fin,Gd,Ex,Y,Detchd,475000
7,1217,1990,1991,1188,2,2,9947,Mitchel,SLvl,TA,Gd,Y,Attchd,173000
5,1656,1916,1987,660,1,2,10410,OldTown,1.5Fin,TA,TA,Y,Detchd,135000
5,1224,1979,1979,1086,2,0,7018,SawyerW,SFoyer,TA,TA,Y,Detchd,153337
8,1593,2001,2002,1593,2,1,4923,StoneBr,1Story,Gd,Ex,Y,Attchd,286000
8,2727,1932,1994,853,2,2,10570,Crawfor,2Story,Gd,Gd,Y,Detchd,315000
7,1479,1972,2004,725,2,1,7472,NAmes,2Story,TA,Gd,Y,Attchd,184000
7,1431,1999,1999,1431,2,2,9017,CollgCr,1Story,Gd,Gd,Y,Attchd,192000
7,1709,2004,2004,970,2,2,2522,Edwards,2Story,Gd,Gd,Y,Detchd,130000
5,864,1972,1972,864,1,1,7180,CollgCr,1Story,TA,TA,Y,Detchd,127000
6,1456,1976,1976,855,2,2,2280,NPkVill,2Story,TA,TA,Y,Attchd,148500
7,1726,2007,2007,1726,3,2,9416,Somerst,1Story,Ex,Ex,Y,Attchd,311872
8,3112,1918,1990,1360,2,2,25419,NAmes,2Story,Gd,Gd,Y,Detchd,235000
6,2229,1912,1950,755,0,1,5520,OldTown,2.5Fin,TA,TA,Y,,104000
8,1713,2004,2005,1713,3,2,9591,NridgHt,1Story,Gd,Ex,Y,Attchd,274900
4,1121,2003,2004,1121,2,2,8546,Edwards,1Story,TA,TA,Y,Attchd,140000
6,1279,1977,1977,1196,2,2,10125,Mitchel,1Story,TA,TA,Y,Detchd,171500
6,1310,1924,1950,617,1,2,7000,OldTown,1.5Fin,TA,TA,Y,Attchd,112000
6,848,2004,2004,848,2,1,4438,CollgCr,1Story,Gd,Gd,Y,Attchd,149000
5,1284,1947,1950,720,1,1,3500,OldTown,1.5Fin,TA,TA,Y,Detchd,110000
7,1442,1990,1990,1424,2,2,11851,Gilbert,1Story,TA,TA,Y,Attchd,180500
5,1696,1962,1962,1140,1,1,13673,Sawyer,1Story,TA,TA,Y,Attchd,143900
4,1100,1960,1960,1100,1,1,12493,NAmes,1Story,TA,TA,Y,Attchd,141000
7,2062,1988,1989,1157,2,2,14364,SawyerW,2Story,Gd,TA,Y,Attchd,277000
6,1092,1964,1964,1092,2,1,8250,NAmes,1Story,TA,TA,Y,Attchd,145000
5,864,1925,1950,864,0,1,5604,Edwards,1Story,TA,TA,N,,98000
6,1212,2009,2009,1212,2,2,10420,Edwards,1Story,TA,Gd,Y,Attchd,186000
7,1852,2009,2009,900,2,2,8640,Somerst,2Story,TA,Gd,Y,Attchd,252678
5,990,1995,1995,990,2,1,13568,CollgCr,1Story,TA,TA,Y,Attchd,156000
6,1392,1977,1977,689,1,1,10900,CollgCr,2Story,TA,TA,Y,Attchd,161750
5,1236,1957,1996,1070,1,1,10011,NAmes,1Story,TA,Gd,Y,Attchd,134450
7,1436,2004,2004,1436,2,2,8450,CollgCr,1Story,Gd,Gd,Y,Attchd,210000
4,1328,1925,1950,686,1,1,9906,OldTown,2Story,TA,TA,N,Detchd,107000
7,1954,1939,2006,798,2,1,15660,Crawfor,1.5Fin,Gd,Gd,Y,Attchd,311500
7,1248,2005,2006,1248,2,2,3010,Blmngtn,1Story,Gd,Gd,Y,Attchd,167240
7,1498,2006,2006,1498,2,2,8990,CollgCr,1Story,Gd,Gd,Y,Attchd,204900
6,2267,2002,2002,1010,2,2,8068,Gilbert,2Story,Gd,Gd,Y,BuiltIn,200000
6,1552,1975,1975,713,2,2,11475,NWAmes,2Story,TA,TA,Y,Attchd,179900
4,864,1971,1971,864,2,1,10500,NAmes,1Story,TA,TA,Y,Detchd,97000
10,2392,2003,2003,2392,3,2,13472,NridgHt,1Story,Ex,Ex,Y,Attchd,386250
5,1302,1971,1971,630,1,2,1680,BrDale,2Story,TA,TA,Y,Detchd,112000
7,2520,1995,1995,1203,3,2,9950,NoRidge,2Story,Gd,Gd,Y,Attchd,290000
6,987,1970,1970,483,1,1,1869,BrDale,2Story,TA,TA,Y,Detchd,106000
5,912,1967,1967,912,1,1,8521,Sawyer,1Story,TA,TA,Y,Detchd,125000
7,1555,2005,2006,1373,2,2,3182,Blmngtn,1Story,Gd,Gd,Y,Attchd,192500
6,1194,1959,1959,1194,1,1,8760,NAmes,1Story,TA,TA,Y,Attchd,148000
8,2794,1995,1996,1462,3,2,15138,NoRidge,2Story,Gd,Ex,Y,Attchd,403000
6,987,1972,1972,483,1,1,1680,BrDale,2Story,TA,TA,Y,Attchd,94500
5,894,1976,1976,894,1,1,10650,CollgCr,1Story,TA,TA,Y,Attchd,128200
6,1960,2002,2002,860,2,2,7851,Gilbert,2Story,Gd,Gd,Y,BuiltIn,216500
6,987,1971,1971,483,1,1,1680,BrDale,2Story,TA,TA,Y,Detchd,89500
7,1414,2004,2004,1414,2,2,8773,CollgCr,1Story,Gd,Gd,Y,Attchd,185500
7,1744,1993,2003,996,2,2,9453,SawyerW,2Story,Gd,Gd,Y,Attchd,194500
8,1694,2007,2007,1694,3,2,12030,NridgHt,1Story,Ex,Gd,Y,Attchd,318000
6,1487,1945,1950,735,1,1,8741,Edwards,1.5Fin,TA,TA,Y,Detchd,113000
8,1566,2008,2008,1566,2,2,9000,Somerst,1Story,Gd,Gd,Y,Attchd,262500
5,866,1945,1997,686,0,1,3880,OldTown,1Story,TA,Gd,Y,,110500
5,1440,1900,1950,540,1,1,5000,OldTown,1.5Fin,TA,TA,N,Attchd,79000
6,1217,1980,1980,626,1,1,10762,SawyerW,2Story,TA,TA,Y,Attchd,120000
7,2110,1994,2002,948,2,2,8880,SawyerW,2Story,Gd,Gd,Y,Attchd,205000
7,1872,1988,1988,1845,2,2,10400,NWAmes,1Story,TA,TA,Y,Attchd,241500
6,1928,1910,1950,1020,1,2,9142,OldTown,2Story,TA,Fa,N,Detchd,137000
6,1375,1954,1954,1367,2,1,11310,NAmes,1Story,TA,TA,Y,Attchd,140000
7,1668,2003,2003,840,2,2,11317,CollgCr,2Story,Gd,Gd,Y,Attchd,180000
6,2144,1958,2006,1444,2,2,159000,ClearCr,1.5Fin,Gd,Gd,Y,Attchd,277000
3,1306,1940,1966,728,0,1,5350,BrkSide,1Story,TA,Fa,Y,,76500
8,1625,2006,2007,1573,2,2,4750,Crawfor,1Story,Gd,Gd,Y,Attchd,235000
6,1640,2004,2004,798,2,2,8366,SawyerW,2Story,Gd,Gd,Y,Attchd,173000
6,1302,1964,1991,1302,1,2,9350,NAmes,SLvl,TA,Gd,Y,Attchd,158000
5,1314,1957,1957,1314,1,1,8400,NAmes,1Story,TA,TA,Y,Attchd,145000
7,2291,1999,1999,975,2,2,8738,Gilbert,2Story,Gd,Gd,Y,BuiltIn,230000
6,1728,2003,2003,864,2,2,8791,Somerst,2Story,Gd,Gd,Y,Attchd,207500
7,1604,2006,2006,1604,2,2,8814,CollgCr,1Story,Gd,Gd,Y,Attchd,220000
7,1792,2001,2001,963,2,2,12435,CollgCr,2Story,Gd,Gd,Y,Attchd,231500
5,882,1956,1956,0,1,1,12702,OldTown,1Story,TA,TA,Y,Detchd,97000
6,1382,1962,1962,1362,2,1,19296,NAmes,SLvl,TA,TA,Y,Attchd,176000
8,2574,2007,2007,1482,3,2,9588,CollgCr,2Story,Gd,Ex,Y,BuiltIn,276000
6,1212,1977,1995,506,2,1,8471,Sawyer,SLvl,TA,TA,Y,Attchd,151000
5,1316,1929,2001,926,2,1,5500,OldTown,1.5Fin,TA,TA,Y,Detchd,130000
5,764,1925,2004,680,2,1,5232,OldTown,1Story,TA,TA,N,Detchd,73000
6,1422,1981,1981,1422,2,2,12090,NWAmes,1Story,TA,Gd,Y,Attchd,175500
6,1511,1997,1997,802,2,2,11207,Gilbert,2Story,TA,TA,Y,Attchd,185000
5,2192,1939,1997,720,1,2,8400,SWISU,2.5Fin,TA,Gd,Y,Detchd,179500
5,778,1940,1955,740,1,1,6900,IDOTRR,1Story,TA,TA,Y,Detchd,120500
6,1113,1976,1976,1143,1,1,7917,Edwards,1Story,TA,TA,Y,Attchd,148000
8,1939,2006,2006,1095,3,2,10728,Somerst,2Story,Gd,Gd,Y,Attchd,266000
7,1363,1954,2005,1385,2,1,39104,ClearCr,1Story,TA,TA,Y,Attchd,241500
8,2270,1999,2007,1152,3,2,11764,NoRidge,2Story,Gd,Gd,Y,Attchd,290000
6,1632,1958,1988,1240,1,2,9600,NAmes,1Story,TA,TA,Y,Attchd,139000
5,816,1982,1982,816,1,1,8314,Mitchel,1Story,TA,TA,Y,Attchd,124500
7,1548,1925,2007,952,2,2,7264,BrkSide,1.5Fin,Gd,Ex,N,Detchd,205000
7,1560,2003,2003,1560,2,2,9196,Mitchel,1Story,Gd,Gd,Y,Attchd,201000
4,864,1951,1951,864,2,1,19138,Gilbert,1Story,TA,TA,Y,Detchd,141000
9,2121,2006,2007,2121,3,2,14450,NridgHt,1Story,Ex,Ex,Y,Attchd,415298
7,2022,1977,1977,1160,2,2,10005,ClearCr,2Story,TA,TA,Y,Attchd,192000
7,1982,1989,1989,807,2,2,11287,SawyerW,2Story,Gd,Gd,Y,Attchd,228500
6,1262,2006,2006,1262,2,2,7200,Somerst,1Story,Gd,Gd,Y,Attchd,185000
7,1314,2007,2008,1314,2,2,5063,NridgHt,1Story,Gd,Gd,Y,Attchd,207500
8,1468,2008,2009,1468,3,2,9612,Somerst,1Story,Gd,Gd,Y,Attchd,244600
6,1575,1992,1992,1575,2,2,8012,SawyerW,1Story,Gd,Gd,Y,Attchd,179200
7,1250,2006,2007,625,2,2,4251,Somerst,2Story,Gd,Gd,Y,Detchd,164700
